concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,57197986,31567,1
laboratory value,0.002,0.008,0.002,0.001,1556590,4324,320
medication,0.001,0.022,0.001,0.001,576613,3478,656
fluid balance,0.001,0.008,0.001,0.002,625392,1910,25
respiratory,0.004,0.084,0.004,0.006,94596830,1554,118
hemodynamics,0.004,0.007,0.004,0.003,36260900,782,63
nice data,0.004,0.003,0.004,0.003,46186,252,56
renal replacement therapy,0.009,0.001,0.009,0.001,6920415,231,39
neurology,0.000,0.000,0.000,0.000,375278,217,12
infectiology,0.020,0.004,0.020,0.007,2670672,200,28
clinical score,0.013,0.000,0.013,0.000,1449416,152,28
position,0.007,0.001,0.007,0.001,66223,141,3
demographics,0.020,0.008,0.020,0.011,23645,100,11
admission information,0.000,0.000,0.000,0.000,16559,61,9
lda,0.000,0.000,0.000,0.000,864,39,7
sofa score,0.000,0.000,0.000,0.000,95379,32,23
