concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,57377297,31690,1
medication,0.001,0.017,0.001,0.001,898286,5823,696
laboratory value,0.001,0.006,0.001,0.001,2137543,5047,322
fluid balance,0.001,0.007,0.001,0.001,879085,2516,26
respiratory,0.003,0.058,0.003,0.004,103035754,2074,120
hemodynamics,0.003,0.009,0.003,0.003,40812906,979,64
renal replacement therapy,0.005,0.001,0.005,0.001,8944617,367,40
neurology,0.000,0.000,0.000,0.000,404556,281,13
position,0.004,0.001,0.004,0.001,112687,273,3
clinical score,0.008,0.000,0.008,0.000,1511023,262,28
infectiology,0.015,0.005,0.015,0.007,2805022,262,30
nice data,0.004,0.003,0.004,0.003,47001,261,56
demographics,0.011,0.004,0.011,0.005,874204,182,11
lda,0.000,0.000,0.000,0.000,2148,99,7
sofa score,0.000,0.000,0.000,0.000,118399,67,23
admission information,0.000,0.000,0.000,0.000,16559,61,9
