concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,59520891,33610,1
medication,0.002,0.011,0.002,0.002,979670,6530,716
laboratory value,0.006,0.092,0.006,0.008,2233723,5302,324
fluid balance,0.006,0.011,0.006,0.007,966368,2680,27
respiratory,0.001,0.004,0.001,0.002,103576021,2369,123
hemodynamics,0.006,0.001,0.006,0.002,41629289,1067,64
renal replacement therapy,0.019,0.010,0.019,0.013,8970267,375,40
neurology,0.000,0.000,0.000,0.000,451601,321,14
infectiology,0.000,0.000,0.000,0.000,2831668,302,30
position,0.000,0.000,0.000,0.000,117891,286,3
clinical score,0.004,0.001,0.004,0.002,1515322,277,28
nice data,0.015,0.005,0.015,0.007,53516,270,56
demographics,0.005,0.002,0.005,0.002,878788,200,11
lda,0.010,0.005,0.010,0.007,2154,100,7
sofa score,0.000,0.000,0.000,0.000,120979,69,23
admission information,0.000,0.000,0.000,0.000,16559,61,9
