concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,62047751,36274,1
medication,0.003,0.015,0.003,0.003,1186617,8012,739
laboratory value,0.018,0.129,0.018,0.018,2432158,5724,324
respiratory,0.008,0.029,0.008,0.009,104661784,3179,124
fluid balance,0.004,0.005,0.004,0.003,1144604,2937,27
hemodynamics,0.003,0.003,0.003,0.003,43260548,1316,65
neurology,0.007,0.012,0.007,0.008,567268,451,14
renal replacement therapy,0.000,0.000,0.000,0.000,9014745,383,40
infectiology,0.008,0.024,0.008,0.011,2875347,379,30
clinical score,0.012,0.006,0.012,0.007,1566752,345,30
position,0.000,0.000,0.000,0.000,119537,301,4
nice data,0.025,0.026,0.025,0.018,53954,276,59
demographics,0.024,0.009,0.024,0.010,885469,252,11
lda,0.020,0.005,0.020,0.008,2204,102,7
sofa score,0.000,0.000,0.000,0.000,128674,77,27
admission information,0.016,0.000,0.016,0.000,16559,61,9
