ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,8,overall,0.014,0.086,0.014,0.018,1628611,3490,514
EPIC,8,relevant,0.030,0.051,0.030,0.032,927669,1261,513
EPIC,8,irrelevant,0.005,0.106,0.005,0.010,700942,2229,1
EPIC,20,overall,0.017,0.377,0.017,0.021,8236423,6221,558
EPIC,20,relevant,0.049,0.026,0.049,0.028,1059813,1210,557
EPIC,20,irrelevant,0.010,0.462,0.010,0.019,7176610,5011,1
EPIC,23,overall,0.022,0.115,0.022,0.024,857253,2363,440
EPIC,23,relevant,0.043,0.044,0.043,0.039,438824,970,439
EPIC,23,irrelevant,0.007,0.164,0.007,0.014,418429,1393,1
EPIC,24,overall,0.014,0.055,0.014,0.014,5466901,6232,672
EPIC,24,relevant,0.028,0.035,0.028,0.025,3066178,2767,671
EPIC,24,irrelevant,0.003,0.070,0.003,0.006,2400723,3465,1
HIX,4,overall,0.019,0.026,0.019,0.019,398563,1026,377
HIX,4,relevant,0.024,0.034,0.024,0.024,369149,790,376
HIX,4,irrelevant,0.000,0.000,0.000,0.000,29414,236,1
HIX,5,overall,0.029,0.088,0.029,0.036,2038498,4603,615
HIX,5,relevant,0.033,0.099,0.033,0.040,1847104,3693,614
HIX,5,irrelevant,0.013,0.041,0.013,0.020,191394,910,1
HIX,6,overall,0.029,0.056,0.029,0.036,1657248,3131,587
HIX,6,relevant,0.036,0.064,0.036,0.042,1486295,2443,586
HIX,6,irrelevant,0.007,0.027,0.007,0.011,170953,688,1
HIX,9,overall,0.013,0.027,0.013,0.015,764747,2222,554
HIX,9,relevant,0.017,0.034,0.017,0.019,707655,1673,553
HIX,9,irrelevant,0.002,0.007,0.002,0.003,57092,549,1
HIX,12,overall,0.028,0.056,0.028,0.033,182285,851,355
HIX,12,relevant,0.027,0.052,0.027,0.030,175626,710,354
HIX,12,irrelevant,0.035,0.079,0.035,0.049,6659,141,1
HIX,14,overall,0.033,0.068,0.033,0.036,455635,1043,390
HIX,14,relevant,0.038,0.078,0.038,0.042,396024,868,389
HIX,14,irrelevant,0.006,0.015,0.006,0.008,59611,175,1
HIX,16,overall,0.025,0.077,0.025,0.033,935659,1454,422
HIX,16,relevant,0.027,0.057,0.027,0.031,888001,1044,421
HIX,16,irrelevant,0.022,0.127,0.022,0.037,47658,410,1
HIX,18,overall,0.021,0.073,0.021,0.028,998697,1874,471
HIX,18,relevant,0.023,0.069,0.023,0.029,935662,1325,470
HIX,18,irrelevant,0.016,0.084,0.016,0.027,63035,549,1
HIX,21,overall,0.024,0.051,0.024,0.027,6423158,1178,432
HIX,21,relevant,0.027,0.038,0.027,0.027,5795409,829,431
HIX,21,irrelevant,0.017,0.081,0.017,0.028,627749,349,1
HIX,22,overall,0.086,0.225,0.086,0.115,595687,2562,372
HIX,22,relevant,0.093,0.242,0.093,0.123,524922,2260,371
HIX,22,irrelevant,0.036,0.103,0.036,0.054,70765,302,1
HIX,26,overall,0.027,0.087,0.027,0.033,556219,2089,499
HIX,26,relevant,0.032,0.100,0.032,0.039,500051,1541,498
HIX,26,irrelevant,0.011,0.048,0.011,0.018,56168,548,1
HIX,28,overall,0.025,0.067,0.025,0.031,418538,2172,551
HIX,28,relevant,0.035,0.088,0.035,0.042,330697,1506,550
HIX,28,irrelevant,0.003,0.021,0.003,0.005,87841,666,1
MV,0,overall,0.023,0.138,0.023,0.032,1053113,1206,325
MV,0,relevant,0.027,0.043,0.027,0.026,700209,517,324
MV,0,irrelevant,0.020,0.209,0.020,0.037,352904,689,1
MV,2,overall,0.027,0.204,0.027,0.034,51809148,1620,425
MV,2,relevant,0.042,0.027,0.042,0.030,42890495,522,424
MV,2,irrelevant,0.019,0.288,0.019,0.036,8918653,1098,1
MV,3,overall,0.030,0.156,0.030,0.042,675504,495,148
MV,3,relevant,0.037,0.045,0.037,0.039,653752,216,147
MV,3,irrelevant,0.025,0.241,0.025,0.045,21752,279,1
MV,10,overall,0.031,0.142,0.031,0.036,36072281,949,251
MV,10,relevant,0.056,0.046,0.056,0.048,30293491,356,250
MV,10,irrelevant,0.015,0.200,0.015,0.028,5778790,593,1
MV,11,overall,0.028,0.169,0.028,0.038,3556326,1263,389
MV,11,relevant,0.039,0.040,0.039,0.037,3007524,488,388
MV,11,irrelevant,0.021,0.250,0.021,0.038,548802,775,1
MV,13,overall,0.033,0.296,0.033,0.047,20072827,806,194
MV,13,relevant,0.047,0.036,0.047,0.040,16783459,256,193
MV,13,irrelevant,0.027,0.417,0.027,0.051,3289368,550,1
MV,15,overall,0.039,0.262,0.039,0.053,31897763,1015,285
MV,15,relevant,0.056,0.069,0.056,0.053,28929706,391,284
MV,15,irrelevant,0.029,0.383,0.029,0.054,2968057,624,1
MV,17,overall,0.027,0.202,0.027,0.031,32468627,1902,367
MV,17,relevant,0.077,0.086,0.077,0.062,26092932,483,366
MV,17,irrelevant,0.011,0.242,0.011,0.020,6375695,1419,1
MV,25,overall,0.037,0.208,0.037,0.043,1340001,889,254
MV,25,relevant,0.078,0.088,0.078,0.073,1044861,319,253
MV,25,irrelevant,0.014,0.276,0.014,0.027,295140,570,1
MV,29,overall,0.028,0.103,0.028,0.031,1837754,1378,514
MV,29,relevant,0.038,0.039,0.038,0.033,1497824,736,513
MV,29,irrelevant,0.016,0.175,0.016,0.029,339930,642,1
